4,0,0,5e-07,9.002e-06
8,0,0,2.285e-06,1.0302e-05
16,0,0,1.6901e-05,2.7585e-05
32,0,0,0.000142118,0.000158044
64,0,0,0.00112323,0.001158657
128,0,0,0.009016104,0.009133743
256,0,0,0.081430664,0.081866256
512,0,0,0.714821666,0.716517473
1024,0,0,9.438383519,9.444877329
4,0,1,4.66e-07,8.355e-06
8,0,1,2.419e-06,1.1325e-05
16,0,1,1.6163e-05,2.5689e-05
32,0,1,0.000149179,0.000165677
64,0,1,0.001188827,0.001226103
128,0,1,0.008758268,0.008882693
256,0,1,0.080399896,0.080835723
512,0,1,0.717167773,0.718820833
1024,0,1,7.791144839,7.797722984
4,0,2,4.46e-07,8.502e-06
8,0,2,2.564e-06,1.1328e-05
16,0,2,1.6613e-05,2.6665e-05
32,0,2,0.000144453,0.000160076
64,0,2,0.001184091,0.001218519
128,0,2,0.008660993,0.008780616
256,0,2,0.080113043,0.080564071
512,0,2,0.717148955,0.71881564
1024,0,2,7.850540258,7.857055931
4,0,3,4.42e-07,9.008e-06
8,0,3,2.383e-06,1.1204e-05
16,0,3,1.7106e-05,2.7849e-05
32,0,3,0.000155348,0.000172051
64,0,3,0.001179541,0.001216514
128,0,3,0.008966903,0.009081291
256,0,3,0.081733682,0.08217572
512,0,3,0.746949355,0.748682459
1024,0,3,9.844678498,9.851408764
4,0,4,5.06e-07,9.241e-06
8,0,4,2.433e-06,1.1234e-05
16,0,4,1.705e-05,2.7405e-05
32,0,4,0.000136328,0.000151523
64,0,4,0.00116615,0.001200328
128,0,4,0.008723499,0.008838599
256,0,4,0.082269955,0.082726772
512,0,4,0.823597354,0.825548623
1024,0,4,8.996736117,9.003480691
