"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Armenia","ARM","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","789960888.143741","843376623.376623","506852687.730817","567247614.979354","517226106.17727","351337833.404042","371135639.068689","332378719.934774","359865213.08226","383089746.944268","423629630.453398","511522177.782582","661384145.809715","855676348.11756","1008274439.96626","1338475057.949","1413899467.45556","1674567081.12247","1663675191.04852","1268730216.88583","1828759529.03772","2284326829.81437","2926876972.55105","3153323143.543","3315721203.94365","3137020909.22235","3558717362.88217","4405338828.34724","4907543853.58308","5631686117.72708","3762799613.66756","4898064989.97558",
"American Samoa","ASM","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","518000000","513000000","460000000","498000000","495000000","505000000","641000000","530000000","364000000","335000000","483000000","458000000","429000000","428000000","429000000","362000000","436000000","399000000","426000000","334000000",
"Antigua and Barbuda","ATG","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","766444444.444444","761740740.740741","700925925.925926","702518518.518518","773666666.666667","813111111.111111","825222222.222222","814814814.814815","777222222.222222","746740740.740741","807407407.407407","931925925.925926","951629629.62963","956703703.703704","1014518518.51852","1091444444.44444","980185185.185185","914222222.222222","938518518.518518","948148148.148148","952148148.148148","1027296296.2963","1016370370.37037","1043111111.11111","994427259.259259","1036233333.33333","1196203185.18519","598873555.555555","",
"Australia","AUS","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","2413484152.76067","2437003023.85486","2772986896.62896","2796505767.72315","3549109642.73715","3428155448.53847","3525590771.64296","3915332064.06093","4016127225.89316","4377869862.24661","5354462985.77668","5715085675.88756","6663551401.86916","9019859064.70211","11680176860.7222","13874095316.1273","14185049792.0081","15449644413.8564","16123392736.296","19275247074.8608","24616155988.8579","26334610472.5415","26231932031.3362","24060832943.3786","26236189096.1782","27497123571.3738","27321628427.5322","29290629962.9434","37674621653.085","45334256168.0645","47071950750.2886","52249430970.8814","54226716911.482","54747048903.8786","58015219647.1809","65793733293.7333","75814112291.3505","83327594302.7078","78166587533.0665","71285875422.9853","80697104816.9315","84096812278.6305","82035370447.8861","89138031450.2038","105490823730.26","126789956397.534","148587151841.869","172570464002.512","212786034019.696","213710793697.541","227416541883.203","299782115744.849","332571664260.672","315050784856.879","309598824933.444","271042516016.308","232526568641.724","281635115770.42","312415316642.121","336244457159.205","318566161683.872","342753936860.96",
"Austria","AUT","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","4210936226.51495","4828104967.50743","5940800642.89541","7945377046.8761","10245142815.0766","11254488425.3773","12352078699.0872","14409079177.4207","18066572538.6146","22832410705.0952","26006990002.1272","23441765163.297","22623842865.2093","21981186609.4684","22265892304.5183","24230778797.5525","31689309598.9184","38996595559.4253","44096573052.4908","46607267810.7124","59423124773.0848","60116254566.8827","64678675181.5677","59900881343.9016","65453950126.4908","80827705745.8714","81256732518.8459","78792186266.7719","83704902178.7461","85506764813.7261","85517701539.3727","88123586542.1655","97162437618.4825","116896445115.898","141284763656.047","153683280004.98","170970396756.212","204559320050.005","230062733001.008","181624745272.726","201088694407.167","232888437032.783","220969210537.828","229899623200.707","236280892259.344","202784894360.508","207444081442.658","225534464183.706","252348201943.937","247908346659.764","224631996609.728","268527420305.887",
"Azerbaijan","AZE","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3885196371.82385","4014478401.50504","384731481.481481","902160000","295000000","785317775.008497","791816808.090201","1150420273.49141","1009304729.90437","1281432038.83495","2118126955.7443","2368624503.38237","2666940958.65048","3056715202.11791","4235066653.09861","8337000211.55067","13954555630.1769","22516839529.1924","32133276533.593","22870241353.5705","28732245203.09","37214511839.9392","36914842158.8595","35907329509.2416","32560882315.4405","20059340230.3338","17580998934.6368","19839356263.0723","25484470588.2353","23629764705.8824","15208764705.8824","25487647058.8235",
"Burundi","BDI","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","24499998","26250000","28000000","17500000","36750000","16452740.7407407","17828571.4285714","19257142.8571429","18861714.2857143","18371428.5714286","25945142.8571429","21329142.8571429","28961142.8571429","33526603.8537475","33674920.6349206","34839365.0793651","61551304.3478261","96342222.2222222","71443333.3333333","110822222.222222","81022222.2222222","88603333.3333333","103470000","97956966.1108123","113561106.006182","126803836.274753","140881024.787597","110260311.589511","136282900.38819","108560193.991189","89130244.3724271","115775316.368525","94756920.9276871","88062144.1515651","95016968.8478329","129318804.202468","50580560.1981833","95688945.6506315","71499431.1758513","61217971.467102","55005758.5302566","45410971.2771723","38676369.5311261","50072047.4404685","63635537.873214","69261010.679589","92956376.4796095","92221558.6590511","169242773.917112","117576040.954033","197117152.22357","196752242.712616","226243003.839985","222979905.739266","235295486.797682","199192403.223542","168508045.20934","163460229.95872","151245432.09896","133258585.342832","120542058.178623","138998735.910343",
"Belgium","BEL","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","12006111335.2158","13052184853.2193","16423224269.0862","22932275926.3093","29637776512.0133","30156821322.8036","34528907001.0449","39354961170.5121","46332075060.8428","58067512383.049","63563403228.0315","56620736636.2451","53510783153.8054","52655467455.6213","53687392488.1318","53878264148.3796","68750421708.5064","83463311723.3928","96418786615.469","104389986691.237","126512468614.196","126790048434.731","138072578419.072","126086323460.821","143073453098.626","173144772851.669","170850032573.29","163720906630.582","165908868637.475","166731346437.529","171786761887.373","169538549671.103","183016456470.236","219593071857.725","261796408380.927","286519836951.906","313563958756.941","368740547135.766","418418164815.625","332643194053.633","365158050100.001","422313795109.923","398929195236.797","413907322862.55","427246782185.842","359721498493.008","378134817583.308","418211812445.412","451370851760.392","441538322416.47","417263655933.075","516056445491.852",
"Benin","BEN","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","13852022.3283418","10801828.3446839","8317361.99456439","9703490.05209447","13861514.1502658","21069299.1007541","20739915.2713466","23474433.6301209","30461094.8168297","38939712.0178981","50633283.0565214","59595404.5028899","59023791.0451078","78995251.9009445","79408573.2434805","98337358.6004389","90731935.2752976","121349816.855035","153492175.476023","207784769.85882","222261791.957198","205681871.994966","225297369.526999","150766908.094661","205805456.696281","247338434.725317","222807320.060097","238541696.086267","223654558.261557","202741075.388948","375946872.309605","417201334.67136","393976833.800645","510965402.210603","452687266.876523","593804034.832126","625667835.201242","616436678.880202","665156749.246294","846151171.951732","725304862.519149","728426326.707471","827401688.622906","997331624.525304","1146038720.89628","1213941611.74104","1270214656.59416","1800691403.67676","2167075121.07623","1940710357.83194","2199999384.41004","2229520239.76133","2662421029.99897","3451240667.49663","4175438842.64093","2815204783.12488","3263416597.55351","3455561020.04159","3889962071.46759","4264332525.40811","3110348693.10499","4878137303.47475",
"Burkina Faso","BFA","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","16066015.5932969","19014523.3570401","20997585.8512517","21985463.4220403","11484229.9140667","19676614.6700677","21918946.4763691","22215438.6427042","28569262.4998637","27823651.7379941","25007057.4461719","26587931.281811","37028538.9377989","42590338.6077028","62500025.5499789","69071585.0515765","80128160.0164051","90048514.3868215","110202752.952615","144182091.522441","172630442.314355","164734398.109899","143789728.924856","126168367.94676","160016187.873993","154030051.662389","183075141.081916","269185176.447727","287730467.399165","228834176.101374","340110071.15132","327535416.538908","296949144.627828","286407870.248401","269161993.945656","336477102.200468","273233009.365219","264654967.692327","359254769.626942","283164612.339804","262543939.662747","288539798.390956","321134590.058255","437119306.277283","593230283.613167","604914662.336342","717391886.997881","789151176.776729","959257187.219731","1303153901.79832","2074074146.56959","3164494170.16836","3340989789.37289","3640311463.70639","3755133897.1596","3089098202.89416","3325889934.21594","3731626622.06429","4461756442.78972","4467779364.78407","","",
