"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Armenia","ARM","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1045655213.09657","1244415584.41558","779688141.15716","729847643.457212","961398392.548806","913101627.206","894135832.286736","955405625.76437","1000634291.3776","919091316.86166","957156466.972861","968529888.660685","1096735501.87495","1391414378.76877","1605180991.65807","2098701754.40896","2482540157.15781","3570727647.4944","4697073302.10145","3684309463.16552","4157364238.39287","4757906356.73632","5139736511.98216","5471934988.45409","5481836161.68309","4427830447.17057","4464567912.38578","5646878995.6173","6612702098.74823","7458380572.51495","5021765248.03536","6075564642.59484",
"American Samoa","ASM","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","562000000","574000000","570000000","618000000","638000000","625000000","758000000","559000000","541000000","563000000","646000000","651000000","695000000","665000000","639000000","626000000","662000000","614000000","691000000","724000000",
"Antigua and Barbuda","ATG","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","493925925.925926","522962962.962963","544037037.037037","579296296.296296","592851851.851852","607259259.259259","656111111.111111","617851851.851852","603111111.111111","588074074.074074","662814814.814815","734222222.222222","846222222.222222","1014407407.40741","1155666666.66667","1180259259.25926","875666666.666667","841518518.518518","794962962.962963","870111111.111111","893407407.407407","924222222.222222","852148148.148148","923185185.185185","970767333.333333","1132821925.92593","1156389814.81481","655278518.518518","",
"Australia","AUS","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","2611714637.69739","2952178295.44182","2512039422.10774","2974577220.29343","3270243028.33464","3959009967.52156","4124762011.42345","4222197334.52794","4730652928.65942","4882965617.65035","5455258147.60891","5839399708.81398","6220794392.52337","7022421524.66368","11737656595.4311","14315171377.8506","14038825160.721","16144757972.0119","17265959846.605","20687265704.8733","23827298050.1393","29570416811.7961","32610614586.7814","27658399625.6434","28996558594.4575","31190457927.4373","32912702853.9452","32314716781.3658","39231664726.4261","50821594332.7091","53061177375.9138","52681108233.2627","53341536568.4842","55746908375.4919","59676236596.3335","73019750519.7505","77631259484.0668","82133354202.5356","81674014786.6784","80794585787.6927","89664636061.0438","83770526993.6675","82018627040.6028","98900407687.8276","121992459809.361","145657795820.177","162450584007.188","186601240480.49","239705461056.401","211105875423.354","238004051792.478","285346544414.867","335171169313.26","335598645737.15","313693197466.263","291125717613.778","260015286067.841","274856324006.335","307312611425.471","301767987412.387","268367743665.371","276295245913.874",
"Austria","AUT","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","4222754697.00979","4883423835.22414","6036690874.45681","8127807997.75107","10716325088.3392","11418675831.5557","13387942011.1989","16661465323.4535","18958761489.6238","23982629953.6799","28828883216.3369","25143195956.4541","23075814309.9137","23074387927.0722","22995355202.5308","24397666932.6949","31708292924.7409","39047892903.7876","44657529254.43","47283383255.3302","59578835773.932","61623796110.7837","67252988980.7163","60542945699.7516","68853040597.5184","83696833629.0433","85017442162.7242","80519032585.4099","84196220542.4633","84520548577.6836","82889700573.0198","84769006146.693","89249971240.9531","109674879628.686","132415628187.464","143550314027.331","158881039267.694","187479970467.546","210948589023.367","168155373268.152","187341317488.667","220824764522.763","209525713468.418","217784703102.326","221810038046.113","188457898640.543","192280704252.106","212334568915.494","238694832569.741","231775644277.96","211566540961.028","265749328901.159",
"Azerbaijan","AZE","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3474320239.18929","3622902229.55496","243666666.666667","1193640000","365490127.388535","1291038858.04917","1776240846.21644","2101743821.3524","2424528301.88679","1917597087.37864","2023580688.42199","2129925910.01825","3121065624.35713","4769575399.6538","6312201078.66083","7007086947.32388","8132639355.27199","9423610301.82962","11464094449.8539","10235008708.634","10942312484.4256","15881853868.5577","17621945010.1833","19475589547.4825","19721280122.4021","18473453054.8507","16529046813.3108","17104055310.2487","17705176470.5882","17712470588.2353","15537823529.4118","16336941176.4706",
"Burundi","BDI","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","26250000","29750000","35000000","33250000","31500002","19928888.8888889","21494857.1428571","21192000","24488000","23004571.4285714","28208000","35832000","37205714.2857143","40576812.5359258","53633015.8730159","79994920.6349206","74673623.1884058","94676666.6666667","123426666.666667","177800000","214223333.333333","213555555.555556","272632222.222222","268000000","232495196.72542","239045071.671224","268172621.529298","291223994.011007","280918091.10011","255573911.399346","314442789.991533","332769069.983968","319246482.287821","254942339.37397","263464979.043231","272899694.103893","136902390.42114","140485312.899106","173751546.009097","129001348.569806","141321270.48441","138400674.414404","140218224.200461","164737396.316344","225367196.228575","322845655.40028","446954632.114287","433983778.268307","591543765.035539","520184945.412831","605576379.83331","764650793.891204","793552551.893039","919568812.316297","928056729.265209","509708738.790544","439689871.877263","439768607.252423","556339530.0866","614607185.69991","588863369.994271","662106262.125756",
"Belgium","BEL","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","11422513916.902","12470410328.098","15284572449.8213","22015693438.2116","29348848384.4242","29954319403.3125","34320538140.0209","39904208216.0945","47131229665.6846","60077552283.9846","67141114636.5016","58814105823.555","55093659720.9959","52310487573.9645","53192322675.2304","52988261430.8037","66063110890.3739","80749672609.4003","92534612177.729","100782764127.764","122899593191.695","122855235676.314","132088996235.885","118889056669.776","134214479141.548","162055281882.868","161993745928.339","153905164636.897","156499555456.768","156514813408.186","165003474243.608","160904233210.669","168605250992.157","202551914317.803","243726488208.109","270950047193.152","297060116700.705","349267150580.942","414937621998.828","321712144735.156","356962071951.667","422831880855.059","398616863110.664","409744204056.825","422862995297.763","353165497773.594","372449652505.448","412988166685.412","453193773141.725","438172286460.391","408268062037.822","509809684270.147",
"Benin","BEN","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","27392931.5879477","22470098.0713944","23547272.2159845","29521371.2224978","33034384.3459012","43212954.8206181","49061969.2248077","60547029.2994863","62251308.8497674","70874399.428221","81609765.5923541","93259568.232455","109969562.460619","130886423.388841","163593479.063766","226162498.384372","216705681.720691","260873171.45047","320872304.69046","439164032.237441","524469482.145934","567561768.142449","508205482.670296","345886049.660689","325135991.277854","383239061.752248","435776317.700622","483576008.712416","519825023.283673","372643203.01384","520152807.120127","602729559.610204","567957714.399145","748725692.941088","576481292.395399","790421188.969052","708783113.714255","715320118.375231","797921924.9776","1154049377.44659","941345963.576868","1040788969.43559","1008396012.35784","1228828056.99767","1324063430.2857","1353744069.70093","1527582059.91437","2211437537.30671","2509050643.04933","2412711942.79996","2704110554.13018","2819548392.47123","2990340505.85322","3959347661.46976","4495143319.21016","3648295538.40033","3709467045.40811","4352984751.47988","4923520740.39052","4900485058.66872","3906745097.47816","5878287109.01417",
"Burkina Faso","BFA","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","52340174.8240483","55303956.0858044","59614662.6783215","61742256.028576","47262647.1673349","48113645.220433","50541606.4253105","62777892.6825064","70389671.0637664","79074211.6305317","73994573.5051452","96149786.9126024","123177211.94028","154654977.899333","183824226.94696","283412263.564162","263748233.211481","344381790.599712","409486625.432794","511997958.834458","602966074.339406","558237959.161893","554827838.662862","473268805.403788","419829259.741297","481677776.936894","589940838.720911","665476337.657377","709757519.098655","618479188.785997","758452814.319001","731992034.934275","655479340.123117","661457423.402667","474345776.791875","633116355.176136","714319767.828281","651175109.916675","789066140.318582","911820983.136068","780034929.907858","721473318.389722","813114645.360648","1002568435.38185","1341080369.13706","1495427431.21779","1581180935.42889","1786796535.63884","2385163527.57847","2505097553.56975","2887043283.23912","3781344566.96529","4351201613.41658","4968861222.40229","4446645376.58481","3902427844.37453","4103751297.65902","4629394614.75257","5166927867.94048","5023004664.70164","","",
