16,0,0,9.3e-08,8.344e-06
32,0,0,9.5e-08,8.295e-06
64,0,0,9.8e-08,8.092e-06
128,0,0,1.33e-07,7.834e-06
256,0,0,1.81e-07,8.505e-06
512,0,0,3e-07,1.1497e-05
1024,0,0,1.572e-06,1.4943e-05
2048,0,0,3.949e-06,2.0753e-05
4096,0,0,9.166e-06,4.0472e-05
8192,0,0,1.8074e-05,6.4368e-05
16384,0,0,5.3664e-05,0.000137241
32768,0,0,0.000111423,0.000295945
65536,0,0,0.000228159,0.000696003
131072,0,0,0.000420426,0.001068536
262144,0,0,0.000877845,0.002102675
524288,0,0,0.001831883,0.003622268
1048576,0,0,0.002601604,0.005577248
2097152,0,0,0.004711527,0.010676839
4194304,0,0,0.008989308,0.019770972
8388608,0,0,0.019716939,0.041947012
16777216,0,0,0.034540538,0.076625207
33554432,0,0,0.068266791,0.14721238
67108864,0,0,0.136682741,0.29251155
134217728,0,0,0.406462733,0.708740358
16,0,1,7.7e-08,7.815e-06
32,0,1,9.1e-08,8.112e-06
64,0,1,1.26e-07,8.307e-06
128,0,1,1.14e-07,7.607e-06
256,0,1,1.99e-07,9.57e-06
512,0,1,3.19e-07,1.106e-05
1024,0,1,1.596e-06,1.5361e-05
2048,0,1,4.131e-06,2.137e-05
4096,0,1,9.186e-06,3.5625e-05
8192,0,1,2.155e-05,6.8297e-05
16384,0,1,5.4707e-05,0.000147744
32768,0,1,9.9972e-05,0.000272885
65536,0,1,0.000233553,0.00058945
131072,0,1,0.00046488,0.001125056
262144,0,1,0.000842983,0.002023144
524288,0,1,0.001548875,0.003515827
1048576,0,1,0.002556004,0.005899652
2097152,0,1,0.004897636,0.010495131
4194304,0,1,0.008927361,0.01959715
8388608,0,1,0.017758793,0.038213687
16777216,0,1,0.034336918,0.075144268
33554432,0,1,0.068252436,0.145724181
67108864,0,1,0.136251904,0.29214579
134217728,0,1,0.413682792,0.723186182
16,0,2,7.7e-08,7.92e-06
32,0,2,9.9e-08,8.076e-06
64,0,2,1e-07,8.249e-06
128,0,2,1.18e-07,7.649e-06
256,0,2,1.94e-07,9.486e-06
512,0,2,2.78e-07,1.0566e-05
1024,0,2,1.621e-06,1.5097e-05
2048,0,2,4.202e-06,2.1498e-05
4096,0,2,8.41e-06,3.292e-05
8192,0,2,2.1006e-05,6.9609e-05
16384,0,2,5.1444e-05,0.000153541
32768,0,2,0.000103728,0.000271335
65536,0,2,0.000244571,0.000594073
131072,0,2,0.000458409,0.001118088
262144,0,2,0.00084136,0.002047154
524288,0,2,0.001503724,0.003513537
1048576,0,2,0.002555181,0.00582101
2097152,0,2,0.004829392,0.010578242
4194304,0,2,0.009126165,0.019981464
8388608,0,2,0.018088623,0.039288726
16777216,0,2,0.03435435,0.075076253
33554432,0,2,0.068139306,0.147194361
67108864,0,2,0.136241649,0.292331054
134217728,0,2,0.413043819,0.724578807
16,0,3,8.5e-08,7.599e-06
32,0,3,1.15e-07,8.214e-06
64,0,3,1.11e-07,8.247e-06
128,0,3,1.5e-07,8.579e-06
256,0,3,1.75e-07,9.115e-06
512,0,3,2.83e-07,1.0468e-05
1024,0,3,1.454e-06,1.3974e-05
2048,0,3,3.949e-06,2.0621e-05
4096,0,3,9.265e-06,3.5751e-05
8192,0,3,1.9509e-05,6.4365e-05
16384,0,3,4.9961e-05,0.000138082
32768,0,3,0.000102014,0.000263267
65536,0,3,0.000245356,0.000603625
131072,0,3,0.000449374,0.001069667
262144,0,3,0.000915032,0.002203939
524288,0,3,0.001550376,0.003520683
1048576,0,3,0.002554316,0.005905515
2097152,0,3,0.004759372,0.010511661
4194304,0,3,0.008925645,0.019820149
8388608,0,3,0.017826946,0.038559073
16777216,0,3,0.034497174,0.074112558
33554432,0,3,0.068322362,0.147367312
67108864,0,3,0.137148944,0.294111081
134217728,0,3,0.410695936,0.714776616
16,0,4,8.4e-08,8.278e-06
32,0,4,9.9e-08,8.27e-06
64,0,4,1.05e-07,8.172e-06
128,0,4,1.44e-07,8.586e-06
256,0,4,1.87e-07,9.744e-06
512,0,4,2.94e-07,1.1626e-05
1024,0,4,1.569e-06,1.5439e-05
2048,0,4,4.169e-06,2.1732e-05
4096,0,4,9.355e-06,3.6076e-05
8192,0,4,2.3246e-05,7.4426e-05
16384,0,4,4.2305e-05,0.000127379
32768,0,4,8.7923e-05,0.000244844
65536,0,4,0.000220649,0.000546317
131072,0,4,0.000461849,0.00113294
262144,0,4,0.000837698,0.002049176
524288,0,4,0.001513754,0.003459141
1048576,0,4,0.002581071,0.005912877
2097152,0,4,0.005518178,0.011074889
4194304,0,4,0.009011872,0.019575986
8388608,0,4,0.017621061,0.039058333
16777216,0,4,0.034453912,0.075164353
33554432,0,4,0.069343457,0.148701064
67108864,0,4,0.136210736,0.29172755
134217728,0,4,0.41146048,0.720383728
